40
178
0 8 80
8 0 80
0 19 90
19 0 90
0 20 40
20 0 40
1 13 75
13 1 75
1 22 110
22 1 110
1 28 110
28 1 110
1 25 40
25 1 40
1 31 105
31 1 105
1 37 60
37 1 60
2 28 50
28 2 50
2 31 100
31 2 100
3 5 90
5 3 90
3 6 90
6 3 90
3 10 60
10 3 60
3 21 110
21 3 110
3 23 80
23 3 80
3 27 105
27 3 105
4 14 70
14 4 70
4 15 75
15 4 75
4 26 110
26 4 110
4 29 75
29 4 75
4 38 70
38 4 70
5 6 100
6 5 100
5 10 90
10 5 90
5 21 100
21 5 100
6 10 120
10 6 120
6 21 110
21 6 110
7 12 115
12 7 115
7 17 100
17 7 100
7 21 110
21 7 110
8 17 115
17 8 115
8 19 100
19 8 100
8 20 50
20 8 50
8 26 55
26 8 55
8 29 80
29 8 80
9 12 75
12 9 75
9 16 85
16 9 85
9 17 115
17 9 115
9 19 85
19 9 85
9 24 70
24 9 70
9 33 115
33 9 115
9 36 90
36 9 90
9 39 80
39 9 80
11 16 85
16 11 85
11 24 120
24 11 120
12 17 70
17 12 70
12 24 120
24 12 120
12 39 60
39 12 60
13 22 115
22 13 115
13 25 55
25 13 55
14 15 100
15 14 100
14 18 55
18 14 55
14 29 120
29 14 120
14 34 85
34 14 85
15 17 105
17 15 105
15 23 85
23 15 85
15 29 85
29 15 85
16 24 40
24 16 40
16 33 115
33 16 115
16 35 50
35 16 50
16 37 105
37 16 105
16 39 120
39 16 120
17 25 120
25 17 120
19 20 70
20 19 70
19 24 100
24 19 100
19 26 100
26 19 100
19 36 80
36 19 80
20 26 90
26 20 90
21 23 80
23 21 80
22 37 100
37 22 100
24 33 70
33 24 70
24 35 80
35 24 80
24 36 90
36 24 90
24 39 100
39 24 100
25 28 100
28 25 100
25 30 110
30 25 110
25 31 70
31 25 70
25 37 80
37 25 80
26 29 40
29 26 40
27 32 80
32 27 80
28 31 65
31 28 65
28 39 65
39 28 65
29 38 95
38 29 95
30 31 80
31 30 80
32 34 75
34 32 75
33 36 70
36 33 70
35 37 70
37 35 70
35 39 100
39 35 100
37 39 115
39 37 115

50.775346 6.083887  
48.370545 10.897790 
49.945640 11.571335 
52.520007 13.404954 
53.079296 8.801694  
51.756311 14.332868 
51.050409 13.737262 
50.984768 11.029880 
51.455643 7.011555  
50.110922 8.682127  
52.347224 14.550567 
47.999008 7.842104  
50.555810 9.680845  
47.491695 11.095498 
53.551085 9.993682  
52.375892 9.732010  
49.006890 8.403653  
51.312711 9.479746  
54.323293 10.122765 
50.356943 7.588996  
50.937531 6.960279  
51.339695 12.373075 
47.546253 9.684088  
52.120533 11.627624 
49.487459 8.466039  
48.135125 11.581980 
51.960665 7.626135  
53.567829 13.277927 
49.452102 11.076665 
52.279911 8.047179  
48.566736 13.431947 
49.013430 12.101624 
54.092441 12.099147 
49.240157 6.996933  
53.635502 11.401250 
48.775846 9.182932  
49.749992 6.637143  
48.401082 9.987608  
53.532340 8.106872  
49.791304 9.953355  
