11
42
0 10 905
0 9 1135
0 8 1140
0 7 720
0 2 1320
1 10 1205
1 7 1050
1 4 1360
1 2 1410
2 10 425
2 9 578
2 7 1205
2 6 1475
2 4 1485
2 1 1410
2 0 1320
3 4 645
4 3 645
4 2 1485
4 1 1360
5 8 1439
6 9 1475
6 2 1475
7 10 1010
7 9 1340
7 8 1435
7 2 1205
7 1 1050
7 0 720
8 7 1435
8 5 1439
8 0 1140
9 10 590
9 7 1340
9 6 1475
9 2 578
9 0 1135
10 9 590
10 7 1010
10 2 425
10 1 1205
10 0 905

52.520007 13.404954
48.390394 -4.486076
46.204391 6.143158
38.722326 -9.139271
40.416775 -3.70379
55.755826 37.6173
38.115688 13.361267
51.92442  4.477733
59.329323 18.068581
45.493048 12.4177
47.376887 8.541694
